Price_PKR,Size_Marla
125000000,20.0
53000000,10.0
100000000,20.0
90000000,8.0
82500000,14.0
105000000,14.2
46000000,8.0
47000000,14.0
170000000,20.0
37000000,6.0
22000000,4.4
19000000,4.3
35000000,10.0
35000000,7.0
75000000,20.0
39900000,6.2
48000000,7.1
157500000,20.0
165000000,26.0
480000000,40.0
27500000,6.5
450000000,40.0
5500000,2.5
5000000,2.1
159000000,20.0
40500000,4.0
97000000,8.0
23500000,5.0
49500000,10.0
26000000,5.0
650000000,72.0
158000000,20.0
50000000,26.0
15200000,8.0
37000000,0.0
14200000,3.4
165000000,20.0
105000000,14.0
14000000,4.1
17800000,4.5
165000000,20.0
83000000,20.0
13500000,5.1
39000000,10.0
36000000,10.0
40000000,10.0
9000000,7.1
195000000,40.0
34000000,7.6
650000000,40.0
28500000,5.0
34000000,8.0
54000000,10.0
115000000,20.0
115000000,20.0
60000000,15.0
38000000,5.0
65000000,6.7
70000000,6.7
35000000,7.2
360000000,40.0
16700000,6.4
64000000,8.0
42500000,4.0
35000000,9.3
85000000,10.0
0,100.0
500000000,20.0
20500000,6.2
230000000,40.0
105000000,20.0
116500000,20.0
117500000,20.0
132500000,20.0
42500000,5.0
150000000,20.0
155000000,32.0
53500000,10.0
28000000,6.0
96000000,20.0
52000000,4.0
110000000,14.0
119000000,20.0
70000000,10.0
40000000,5.0
7800000,2.5
7300000,2.9
150000000,24.0
700000000,50.0
690000000,44.0
650000000,80.0
290000000,26.0
139000000,20.0
20000000,5.0
135000000,24.0
250000000,40.0
31500000,4.0
43000000,10.0
6500000,1.6
36000000,8.0
135000000,20.0
55000000,10.0
48000000,9.0
65000000,11.0
40000000,10.0
43500000,10.0
350000000,80.0
75000000,10.0
850000000,200.0
90000000,24.0
220000000,14.2
160000000,14.2
215000000,17.8
235000000,17.8
14000000,5.0
25000000,7.0
749000000,32.0
60000000,5.1
55000000,20.0
70000000,20.0
51500000,10.0
42500000,10.0
450000000,340.0
58000000,10.0
105000000,36.0
